City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Svetlogorsk,BY,2022-01-27 23:49:57,52.6333,29.7333,31.6,95,100,14.2
178,Rancho Cucamonga,US,2022-01-27 23:49:58,34.1064,-117.5931,73.22,16,20,5.01
179,Kroya,ID,2022-01-27 23:49:58,-7.6331,109.2461,75.2,88,100,1.95
180,Rancho Palos Verdes,US,2022-01-27 23:49:58,33.7445,-118.387,75.87,55,0,4.0
181,Kalmunai,LK,2022-01-27 23:49:58,7.4167,81.8167,73.36,83,99,7.78
182,Grindavik,IS,2022-01-27 23:49:59,63.8424,-22.4338,39.67,93,100,26.46
183,Mehamn,NO,2022-01-27 23:49:59,71.0357,27.8492,27.91,94,100,3.38
184,Paragominas,BR,2022-01-27 23:50:59,-2.9667,-47.4833,71.46,99,100,3.76
185,Bogotol,RU,2022-01-27 23:51:00,56.2078,89.5342,-13.9,100,98,3.94
186,Lincoln,US,2022-01-27 23:50:56,40.8,-96.667,39.15,83,100,5.01
187,Leshukonskoye,RU,2022-01-27 23:51:00,64.8989,45.7622,7.56,96,100,5.59
188,Lompoc,US,2022-01-27 23:48:26,34.6391,-120.4579,70.09,47,0,5.75
189,Okha,RU,2022-01-27 23:51:01,53.5739,142.9478,-11.51,97,90,13.04
190,Bredasdorp,ZA,2022-01-27 23:51:01,-34.5322,20.0403,65.52,77,1,6.91
191,Geraldton,AU,2022-01-27 23:51:01,-28.7667,114.6,81.01,39,0,13.8
192,Miraflores,MX,2022-01-27 23:51:02,19.2167,-98.8083,71.87,52,45,4.99
193,Irtyshskiy,RU,2022-01-27 23:51:02,58.3333,68.1333,6.08,96,100,7.67
194,Chapais,CA,2022-01-27 23:47:25,49.7834,-74.8492,8.38,95,100,10.54
195,Hammerfest,NO,2022-01-27 23:51:02,70.6634,23.6821,23.45,100,75,1.14
196,Otane,NZ,2022-01-27 23:51:03,-39.8833,176.6333,70.39,33,34,7.9
197,Hithadhoo,MV,2022-01-27 23:51:03,-0.6,73.0833,81.07,69,99,14.2
198,Shar,KZ,2022-01-27 23:51:04,49.5886,81.0453,-7.06,94,63,8.1
199,Verkhnyaya Toyma,RU,2022-01-27 23:51:04,62.2349,44.9985,9.81,95,100,6.42
200,Saldanha,ZA,2022-01-27 23:47:25,-33.0117,17.9442,60.85,84,0,17.45
201,Amlame,TG,2022-01-27 23:51:04,7.4667,0.9,74.01,41,14,0.87
202,Kalabo,ZM,2022-01-27 23:51:05,-14.97,22.6814,66.0,96,100,4.97
203,Kinshasa,CD,2022-01-27 23:51:05,-4.3246,15.3215,77.38,83,40,5.75
204,Qixia,CN,2022-01-27 23:51:05,37.2975,120.8256,26.22,57,81,3.65
205,Hermanus,ZA,2022-01-27 23:51:06,-34.4187,19.2345,65.8,80,12,2.93
206,Candido Mendes,BR,2022-01-27 23:51:06,-1.4467,-45.7167,72.05,98,100,3.58
207,Pisco,PE,2022-01-27 23:51:06,-13.7,-76.2167,69.85,73,0,25.32
208,Khuzhir,RU,2022-01-27 23:51:07,53.1939,107.3397,-1.61,96,80,2.77
209,Port Alfred,ZA,2022-01-27 23:51:07,-33.5906,26.891,71.46,89,77,14.38
210,Meadow Lake,US,2022-01-27 23:51:07,34.8014,-106.5436,46.45,30,0,8.59
211,Saint-Paul,RE,2022-01-27 23:50:31,-21.0096,55.2707,73.51,78,30,2.24
212,Sabang,ID,2022-01-27 23:51:08,5.8933,95.3214,80.71,79,77,7.23
213,Sisimiut,GL,2022-01-27 23:51:08,66.9395,-53.6735,5.31,81,100,12.68
214,Svetlaya,RU,2022-01-27 23:51:09,46.5389,138.3297,9.3,67,47,8.28
215,Vilhena,BR,2022-01-27 23:51:09,-12.7406,-60.1458,75.42,94,40,2.3
216,Bayeux,BR,2022-01-27 23:51:09,-7.125,-34.9322,77.63,94,20,0.0
217,Hit,IQ,2022-01-27 23:51:09,33.6416,42.8251,44.47,67,4,9.62
218,Porosozero,RU,2022-01-27 23:51:10,62.7191,32.727,16.16,96,100,4.72
219,Coquimbo,CL,2022-01-27 23:51:10,-29.9533,-71.3436,64.13,82,20,10.36
220,Bahia Honda,CU,2022-01-27 23:51:11,22.9036,-83.1592,72.81,86,80,9.04
221,Naze,JP,2022-01-27 23:51:11,28.3667,129.4833,59.92,80,92,9.28
222,Cayenne,GF,2022-01-27 23:51:11,4.9333,-52.3333,73.44,94,75,0.0
223,Tingi,TZ,2022-01-27 23:51:11,-11.3,35.0333,63.84,92,100,2.73
224,Fort Nelson,CA,2022-01-27 23:51:12,58.8053,-122.7002,22.59,93,100,3.44
225,Hofn,IS,2022-01-27 23:51:12,64.2539,-15.2082,32.74,99,100,4.45
226,Flin Flon,CA,2022-01-27 23:51:12,54.7682,-101.865,1.24,66,100,3.44
227,Qaqortoq,GL,2022-01-27 23:51:13,60.7167,-46.0333,0.75,88,16,5.23
228,Tevaitoa,PF,2022-01-27 23:51:13,-16.7833,-151.5,80.98,76,24,15.84
229,Vredendal,ZA,2022-01-27 23:51:13,-31.6683,18.5012,62.71,86,0,11.74
230,Longyearbyen,SJ,2022-01-27 23:51:14,78.2186,15.6401,10.24,79,75,9.22
231,Maykor,RU,2022-01-27 23:52:14,59.0059,55.88,2.88,97,95,4.92
232,Isangel,VU,2022-01-27 23:51:55,-19.55,169.2667,86.11,79,75,8.05
233,Koulikoro,ML,2022-01-27 23:52:14,14.0,-7.75,70.99,12,10,8.21
234,Los Llanos De Aridane,ES,2022-01-27 23:52:15,28.6585,-17.9182,55.15,76,0,8.99
235,Waddan,LY,2022-01-27 23:52:15,29.1614,16.139,44.82,56,65,3.58
236,Jacareacanga,BR,2022-01-27 23:48:35,-6.2222,-57.7528,73.06,98,81,2.39
237,Princeton,US,2022-01-27 23:52:16,25.5384,-80.4089,75.22,92,75,0.0
238,Purranque,CL,2022-01-27 23:52:16,-40.9167,-73.1667,85.33,54,0,4.72
239,Monze,ZM,2022-01-27 23:52:16,-16.2833,27.4833,62.85,98,91,3.78
240,San Rafael,AR,2022-01-27 23:49:43,-34.6177,-68.3301,72.39,56,59,3.27
