City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
132,Gayny,RU,2022-01-29 21:13:08,60.3071,54.3241,6.4,98,95,3.58,overcast clouds
133,Quatre Cocos,MU,2022-01-29 21:13:08,-20.2078,57.7625,79.09,71,97,14.32,overcast clouds
134,Roslyakovo,RU,2022-01-29 21:13:08,69.043,33.1991,14.72,100,92,1.68,overcast clouds
135,Tahe,CN,2022-01-29 21:13:09,52.3333,124.7333,-1.66,79,16,7.74,few clouds
136,Saint George,US,2022-01-29 21:12:20,37.1041,-113.5841,64.87,15,0,1.99,clear sky
137,Te Anau,NZ,2022-01-29 21:10:21,-45.4167,167.7167,57.67,88,100,1.41,light rain
138,Chicama,PE,2022-01-29 21:13:09,-7.8447,-79.1469,68.54,62,81,10.83,broken clouds
139,Sitka,US,2022-01-29 21:13:10,57.0531,-135.33,37.29,81,100,14.97,moderate rain
140,Akhmeta,GE,2022-01-29 21:13:10,42.0311,45.2075,34.32,56,27,5.28,scattered clouds
141,Marawi,PH,2022-01-29 21:13:10,7.9986,124.2928,66.65,94,86,0.76,overcast clouds
142,Atuona,PF,2022-01-29 21:12:29,-9.8,-139.0333,77.72,75,18,13.67,few clouds
143,Kapaa,US,2022-01-29 21:13:11,22.0752,-159.319,80.58,72,20,1.99,few clouds
144,Murmashi,RU,2022-01-29 21:13:11,68.8154,32.8115,14.41,100,75,0.0,broken clouds
145,Chuy,UY,2022-01-29 21:13:11,-33.6971,-53.4616,74.12,61,18,11.32,few clouds
146,Comodoro Rivadavia,AR,2022-01-29 21:13:12,-45.8667,-67.5,87.66,8,0,23.02,clear sky
147,Maragogi,BR,2022-01-29 21:13:12,-9.0122,-35.2225,76.41,73,100,6.02,overcast clouds
148,Batemans Bay,AU,2022-01-29 21:13:12,-35.7167,150.1833,75.2,95,96,2.19,overcast clouds
149,Suntar,RU,2022-01-29 21:13:13,62.1444,117.6319,-17.23,97,56,4.83,broken clouds
150,San Luis,AR,2022-01-29 21:10:05,-33.295,-66.3356,88.5,23,0,3.62,clear sky
151,Asyut,EG,2022-01-29 21:13:13,27.181,31.1837,50.52,48,0,7.11,clear sky
152,Urdoma,RU,2022-01-29 21:13:13,61.7533,48.5442,15.48,94,100,7.29,light snow
153,Jinchang,CN,2022-01-29 21:13:14,38.4953,102.1739,17.24,58,26,11.12,scattered clouds
154,Beringovskiy,RU,2022-01-29 21:10:22,63.05,179.3167,-11.65,100,97,3.38,overcast clouds
155,Hobyo,SO,2022-01-29 21:13:14,5.3505,48.5268,76.84,78,17,23.15,few clouds
156,Saint-Philippe,RE,2022-01-29 21:11:04,-21.3585,55.7679,76.59,85,55,9.06,light rain
157,Necochea,AR,2022-01-29 21:13:14,-38.5473,-58.7368,90.03,40,1,18.07,clear sky
158,Santo Antonio Do Ica,BR,2022-01-29 21:09:18,-3.1022,-67.9397,92.73,46,73,2.95,light rain
159,Marshall,US,2022-01-29 21:09:39,34.3834,-86.3333,39.96,33,0,1.01,clear sky
160,Sao Cristovao,BR,2022-01-29 21:13:15,-11.0147,-37.2064,80.51,78,75,4.61,broken clouds
161,Ende,ID,2022-01-29 21:13:15,-8.8432,121.6623,77.97,86,100,6.2,overcast clouds
162,Mehamn,NO,2022-01-29 21:13:15,71.0357,27.8492,19.35,86,75,11.5,broken clouds
163,Auch,FR,2022-01-29 21:13:16,43.65,0.5833,39.25,87,2,1.01,clear sky
164,Santa Lucia,ES,2022-01-29 21:11:46,27.9117,-15.5407,56.77,55,100,10.36,haze
165,Kupino,RU,2022-01-29 21:13:16,54.3663,77.2981,1.51,89,27,9.35,scattered clouds
166,Nakamura,JP,2022-01-29 21:13:17,32.9833,132.9333,39.04,73,100,3.76,overcast clouds
167,Jamestown,US,2022-01-29 21:10:42,42.097,-79.2353,16.09,48,0,5.01,clear sky
168,Vila Franca Do Campo,PT,2022-01-29 21:10:34,37.7167,-25.4333,59.2,74,58,8.97,broken clouds
169,Bend,US,2022-01-29 21:09:15,44.0582,-121.3153,52.38,37,0,1.01,clear sky
170,Borogontsy,RU,2022-01-29 21:13:17,62.6683,131.1683,-37.17,100,69,1.83,broken clouds
171,Pangai,TO,2022-01-29 21:13:17,-19.8,-174.35,82.09,76,83,13.2,broken clouds
172,Pokaran,IN,2022-01-29 21:13:18,26.9167,71.9167,61.25,18,0,4.68,clear sky
173,Mildura,AU,2022-01-29 21:13:18,-34.2,142.15,69.76,73,0,8.05,clear sky
174,Hasaki,JP,2022-01-29 21:14:18,35.7333,140.8333,27.0,61,65,19.8,broken clouds
175,Port-Gentil,GA,2022-01-29 21:14:19,-0.7193,8.7815,81.41,81,90,9.82,overcast clouds
176,Touros,BR,2022-01-29 21:14:19,-5.1989,-35.4608,79.7,77,95,10.31,overcast clouds
177,Okhotsk,RU,2022-01-29 21:14:19,59.3833,143.3,13.48,81,100,14.61,overcast clouds
178,Rawson,AR,2022-01-29 21:14:20,-43.3002,-65.1023,83.1,32,62,7.85,broken clouds
179,Greenwood,US,2022-01-29 21:14:20,34.1668,-82.1165,43.48,15,0,7.0,clear sky
180,Am Timan,TD,2022-01-29 21:14:20,11.0297,20.2827,75.49,18,41,7.56,scattered clouds
181,Goderich,CA,2022-01-29 21:13:16,43.7501,-81.7165,17.91,79,89,6.67,overcast clouds
182,Bambous Virieux,MU,2022-01-29 21:10:17,-20.3428,57.7575,79.21,70,99,13.65,overcast clouds
183,Vardo,NO,2022-01-29 21:14:21,70.3705,31.1107,21.31,78,93,0.96,overcast clouds
184,Ponta Do Sol,PT,2022-01-29 21:10:24,32.6667,-17.1,65.03,67,25,5.06,scattered clouds
185,Marsa Matruh,EG,2022-01-29 21:14:21,31.3525,27.2453,54.52,62,15,14.18,few clouds
186,Emerald,AU,2022-01-29 21:11:07,-23.5333,148.1667,74.34,70,25,5.88,scattered clouds
187,Goroka,PG,2022-01-29 21:14:22,-6.0834,145.3873,60.15,96,97,2.24,overcast clouds
188,Kodiak,US,2022-01-29 21:10:36,57.79,-152.4072,35.11,55,0,24.16,clear sky
189,East London,ZA,2022-01-29 21:10:36,-33.0153,27.9116,72.01,80,83,10.71,broken clouds
190,Port Elizabeth,ZA,2022-01-29 21:14:22,-33.918,25.5701,67.1,83,0,8.7,clear sky
191,Dikson,RU,2022-01-29 21:14:22,73.5069,80.5464,3.61,93,99,21.88,overcast clouds
192,Sarangani,PH,2022-01-29 21:14:23,5.4033,125.4636,80.71,75,86,7.43,overcast clouds
193,Darnah,LY,2022-01-29 21:14:23,32.767,22.6367,52.36,65,53,23.4,broken clouds
194,Vao,NC,2022-01-29 21:14:23,-22.6667,167.4833,78.66,87,95,11.79,overcast clouds
195,Atoyac,MX,2022-01-29 21:14:24,20.0167,-103.5333,79.16,27,7,2.66,clear sky
196,Kashi,CN,2022-01-29 21:14:24,39.4547,75.9797,24.22,55,25,1.66,scattered clouds
197,Sao Sepe,BR,2022-01-29 21:14:24,-30.1606,-53.5653,85.55,29,0,11.59,clear sky
198,Havelock,US,2022-01-29 21:14:25,34.8791,-76.9013,39.18,52,40,14.0,scattered clouds
199,Yangcun,CN,2022-01-29 21:14:25,39.3639,117.0603,19.38,42,0,0.96,clear sky
200,Namibe,AO,2022-01-29 21:14:25,-15.1961,12.1522,72.28,76,100,6.69,overcast clouds
201,Staryy Nadym,RU,2022-01-29 21:14:26,65.6118,72.6842,-8.07,96,99,8.9,overcast clouds
202,Namtsy,RU,2022-01-29 21:14:26,62.7161,129.6658,-30.89,100,75,1.74,broken clouds
203,Nikolskoye,RU,2022-01-29 21:14:26,59.7035,30.7861,27.72,85,100,14.97,light snow
204,Bubaque,GW,2022-01-29 21:14:27,11.2833,-15.8333,78.44,72,92,21.16,overcast clouds
205,Dicabisagan,PH,2022-01-29 21:14:27,17.0818,122.4157,75.96,88,11,3.11,few clouds
206,Hit,IQ,2022-01-29 21:14:27,33.6416,42.8251,49.71,60,31,3.38,scattered clouds
207,Hoi An,VN,2022-01-29 21:14:28,15.8794,108.335,75.16,90,52,4.05,broken clouds
208,Talnakh,RU,2022-01-29 21:14:28,69.4865,88.3972,-0.89,97,100,9.53,overcast clouds
209,Svetlogorsk,BY,2022-01-29 21:14:28,52.6333,29.7333,22.95,93,97,12.1,overcast clouds
210,Springbok,ZA,2022-01-29 21:14:28,-29.6643,17.8865,79.16,35,21,4.68,few clouds
211,Lavrentiya,RU,2022-01-29 21:14:29,65.5833,-171.0,-3.82,83,3,4.07,clear sky
212,Sabha,LY,2022-01-29 21:14:29,27.0377,14.4283,49.3,29,47,7.0,scattered clouds
213,Dingle,PH,2022-01-29 21:14:29,10.9995,122.6711,74.53,91,9,1.7,clear sky
214,Marsh Harbour,BS,2022-01-29 21:14:30,26.5412,-77.0636,59.67,60,19,28.05,few clouds
215,Mahebourg,MU,2022-01-29 21:14:30,-20.4081,57.7,79.25,83,20,5.75,few clouds
216,Burnie,AU,2022-01-29 21:14:30,-41.0667,145.9167,61.95,93,73,7.45,broken clouds
217,Abay,KZ,2022-01-29 21:14:31,49.6311,72.8539,21.58,94,99,11.34,overcast clouds
218,Fairview,US,2022-01-29 21:15:31,40.8126,-73.999,19.99,65,100,12.66,overcast clouds
219,Pangnirtung,CA,2022-01-29 21:10:42,66.1451,-65.7125,-19.37,99,100,4.07,overcast clouds
220,Anadyr,RU,2022-01-29 21:15:31,64.75,177.4833,-14.01,83,20,0.0,mist
221,Wicklow,IE,2022-01-29 21:15:32,53.0,-6.4167,37.96,75,81,4.94,broken clouds
222,Moba,CN,2022-01-29 21:15:32,33.2288,105.0179,26.55,89,100,2.37,overcast clouds
223,Caernarfon,GB,2022-01-29 21:15:32,53.1413,-4.2702,46.62,61,20,5.75,few clouds
224,Kibre Mengist,ET,2022-01-29 21:15:33,5.8833,38.9833,55.67,33,9,3.0,clear sky
225,Geraldton,AU,2022-01-29 21:14:30,-28.7667,114.6,68.41,94,0,6.91,clear sky
226,Inta,RU,2022-01-29 21:15:33,66.0317,60.1659,10.04,87,100,7.99,overcast clouds
227,Yulara,AU,2022-01-29 21:13:33,-25.2406,130.9889,76.91,77,63,17.96,broken clouds
228,Rapid Valley,US,2022-01-29 21:15:33,44.0625,-103.1463,56.37,14,0,1.99,clear sky
229,Sungairaya,ID,2022-01-29 21:15:34,0.7,108.9,76.55,88,100,3.96,overcast clouds
230,Sao Filipe,CV,2022-01-29 21:15:34,14.8961,-24.4956,71.11,71,100,13.0,overcast clouds
231,Mao,ES,2022-01-29 21:15:34,39.8885,4.2658,43.36,100,0,4.61,clear sky
232,Tottori,JP,2022-01-29 21:13:50,35.5,134.2333,39.67,72,100,8.1,overcast clouds
233,Erenhot,CN,2022-01-29 21:15:35,43.6475,111.9767,7.34,89,100,5.26,overcast clouds
234,Agadez,NE,2022-01-29 21:15:35,19.75,10.25,59.11,18,38,10.07,scattered clouds
235,Kavaratti,IN,2022-01-29 21:15:35,10.5669,72.642,80.51,74,75,6.06,broken clouds
236,Maniitsoq,GL,2022-01-29 21:15:35,65.4167,-52.9,8.65,76,100,28.45,light snow
237,La Asuncion,VE,2022-01-29 21:15:36,11.0333,-63.8628,83.93,61,98,13.8,overcast clouds
238,Sherghati,IN,2022-01-29 21:15:36,24.5667,84.7833,47.82,56,0,5.28,clear sky
239,Shubarshi,KZ,2022-01-29 21:15:36,48.5872,57.1869,15.62,95,95,9.22,overcast clouds
240,Christchurch,NZ,2022-01-29 21:10:46,-43.5333,172.6333,71.91,74,40,5.01,scattered clouds
241,Lensk,RU,2022-01-29 21:15:37,60.7253,114.9278,-6.57,97,100,6.71,overcast clouds
242,Faanui,PF,2022-01-29 21:15:37,-16.4833,-151.75,80.04,74,18,11.59,light rain
243,Oruro,BO,2022-01-29 21:15:37,-17.9833,-67.15,54.09,71,75,14.97,heavy intensity rain
244,Xai-Xai,MZ,2022-01-29 21:15:38,-25.0519,33.6442,75.74,83,100,5.75,overcast clouds
245,Yar-Sale,RU,2022-01-29 21:15:38,66.8333,70.8333,-9.54,97,93,8.77,overcast clouds
246,Nisia Floresta,BR,2022-01-29 21:15:38,-6.0911,-35.2086,80.98,77,98,7.29,overcast clouds
247,Alyangula,AU,2022-01-29 21:13:28,-13.8483,136.4192,82.31,78,100,17.52,light rain
248,Tanete,ID,2022-01-29 21:15:39,-3.9443,119.7848,75.87,93,100,2.95,overcast clouds
249,Stornoway,GB,2022-01-29 21:15:39,58.2093,-6.3865,40.93,82,75,8.01,broken clouds
250,Kutum,SD,2022-01-29 21:14:30,14.2,24.6667,55.18,17,21,10.51,few clouds
251,Odienne,CI,2022-01-29 21:15:39,9.51,-7.5692,80.49,17,72,4.79,broken clouds
252,Buluang,PH,2022-01-29 21:15:40,13.3068,123.3425,74.97,93,55,2.04,broken clouds
